,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
395,65.530814000,10.11.11.121,40231,52.9.197.142,443,6,2443,7158,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
396,65.528805000,10.11.11.121,40234,52.9.197.142,443,6,2136,7158,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
397,0.019037000,10.11.11.217,62577,172.217.9.131,80,6,78,74,0,0,0,0,0,[],[],[],[],0
398,9.011213000,10.11.11.203,49201,5.188.108.58,443,6,194,0,0,0,0,0,0,[],[],[],[],0
399,9.020817000,10.11.11.203,49202,138.201.6.195,443,6,194,0,0,0,0,0,0,[],[],[],[],0
400,3.905144000,10.11.11.121,52326,34.215.55.47,443,6,1996,7521,3,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
401,4.009146000,10.11.11.121,52328,34.215.55.47,443,6,1620,1502,2,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
402,4.084897000,10.11.11.121,52330,34.215.55.47,443,6,1837,1357,2,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
403,0.663987000,10.11.11.121,52332,34.215.55.47,443,6,2049,1224,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
404,0.636830000,10.11.11.121,52334,34.215.55.47,443,6,1306,1277,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
405,0.475981000,10.11.11.121,52336,34.215.55.47,443,6,1186,743,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
406,0.586671000,10.11.11.121,52338,34.215.55.47,443,6,1249,1226,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
407,0.635006000,10.11.11.121,52340,34.215.55.47,443,6,1358,996,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
